history_data,total,qed,sa,docking_score,smiles
GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_5038e7,-8.900000,0.794134,1.797635,-8.900000,[H]c1c([H])c(F)c([H])c(C(=O)OC([H])([H])c2c([H])c([H])c(Br)c([H])c2F)c1[H]
GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_5038e7|CROSSOVER-04ba04_1ab7fb,-8.700000,0.869675,2.027527,-8.700000,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)c2c([H])c(C(=O)C([H])([H])[H])c([H])n2C([H])([H])[H])c(F)c1[H]
GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_5038e7|CROSSOVER-04ba04_31be44,-6.900000,0.623412,1.968456,-6.900000,[H]c1c([H])c(F)c([H])c(C([H])([H])C([H])(F)F)c1[H]
GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_5038e7|CROSSOVER-04ba04_73aa74,-10.400000,0.539032,1.930249,-10.400000,[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c(C(=O)OC([H])([H])c3c([H])c([H])c(Br)c([H])c3F)c([H])c2F)c([H])c1[H]
GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_5038e7|CROSSOVER-04ba04_73aa74|CROSSOVER-3dac7c_36c40e|CROSSOVER-7ff70b_b6e0ec,-10.400000,0.391202,2.089110,-10.400000,[H]c1nc(-c2c([H])c([H])c([H])c(C([H])([H])OC(=O)c3c([H])c([H])c(C(=O)N([H])c4c([H])c([H])c([H])c([H])c4[H])c(F)c3[H])c2[H])c([H])c([H])c1F
GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_5038e7|CROSSOVER-04ba04_9570cc,-8.300000,0.859365,2.208969,-8.300000,[H]c1c([H])c(C([H])([H])N([H])C(=O)c2c([H])c(C(=O)C([H])([H])[H])c([H])n2C([H])([H])[H])c(F)c([H])c1Br
GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_5038e7|CROSSOVER-04ba04_9570cc|CROSSOVER-9e913e_62057c,-6.400000,0.538862,1.396098,-6.400000,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c(F)c1[H]
GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_5038e7|CROSSOVER-04ba04_9570cc|CROSSOVER-9e913e_6c6732,-7.000000,0.850827,2.852869,-7.000000,[H]c1c(Cl)c(C([H])([H])N([H])C([H])(C([H])([H])[H])C2([H])C([H])([H])C2([H])[H])c(Cl)c([H])c1Br
GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_5038e7|CROSSOVER-04ba04_f22f6c,-7.100000,0.757183,1.796167,-7.100000,[H]c1c([H])c(C([H])([H])N([H])C2([H])C([H])([H])C2([H])[H])c(F)c([H])c1F
GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_9718ad,-8.300000,0.741039,2.850012,-8.300000,[H]OC(=O)C([H])(C([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])N(C(=O)OC([H])([H])c2c([H])c(F)c(Br)c([H])c2F)C([H])([H])C1([H])[H]
GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_ee40fd|CROSSOVER-8ad45b_1a319f,-7.600000,0.803173,2.296906,-7.600000,[H]c1c([H])c([H])c(C([H])([H])N([H])C([H])(C([H])([H])[H])C2([H])C([H])([H])C2([H])[H])c(Cl)c1[H]
GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_ee40fd|CROSSOVER-8ad45b_82fa72,-6.100000,0.519899,1.759033,-6.100000,[H]C(=O)c1c([H])c([H])c([H])c([H])c1F
GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_50197c,-7.200000,0.715065,2.728950,-7.200000,[H]C#CC(N([H])C([H])([H])c1oc(C([H])([H])[H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H]
GEN1-ROOT|GPT-1-dc8870|CROSSOVER-8ab121_f93f67,-8.400000,0.565396,2.342524,-8.400000,[H]c1c([H])c(C(=O)C([H])([H])C(=O)C([H])([H])C([H])([H])[H])c([H])c(C([H])([H])C([H])(F)F)c1[H]
GEN1-ROOT|GPT-1-dc8870|CROSSOVER-8ab121_f93f67|CROSSOVER-3794e5_2b38ee|CROSSOVER-5a1444_347ac1,-7.600000,0.762361,2.141990,-7.600000,[H]c1c([H])c(C([H])([H])C([H])(F)F)c([H])c(C([H])([H])C([H])([H])N([H])[H])c1[H]
GEN1-ROOT|GPT-1-dc8870|CROSSOVER-8ab121_f93f67|CROSSOVER-3794e5_2b38ee|CROSSOVER-5a1444_9860b4,-7.900000,0.498074,2.579798,-7.900000,[H]c1nnc([H])c(N([H])[H])c1-c1c([H])c([H])c([H])c(N([H])N([H])[H])c1[H]
GEN1-ROOT|GPT-1-dc8870|CROSSOVER-8ab121_f93f67|CROSSOVER-3794e5_a29a1e,-8.400000,0.519709,2.186117,-8.400000,[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c(C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c2C(=O)C([H])([H])C(=O)C([H])([H])C([H])([H])[H])c([H])c1[H]
GEN1-ROOT|GPT-1-dc8870|CROSSOVER-8ab121_f93f67|CROSSOVER-3794e5_a29a1e|CROSSOVER-bdedb6_9534ae,-8.300000,0.729216,1.393880,-8.300000,[H]c1c([H])c([H])c(N(C([H])([H])[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
GEN1-ROOT|GPT-1-dc8870|CROSSOVER-8ab121_f93f67|CROSSOVER-3794e5_a29a1e|CROSSOVER-bdedb6_9534ae|CROSSOVER-cfcf17_19efc1,-8.500000,0.757477,1.598951,-8.500000,[H]c1c([H])c([H])c(N(C([H])([H])[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2F)c([H])c1[H]
GEN1-ROOT|GPT-1-dc8870|CROSSOVER-8ab121_f93f67|CROSSOVER-3794e5_a29a1e|CROSSOVER-bdedb6_9534ae|CROSSOVER-cfcf17_7c796a,-8.200000,0.800192,2.303596,-8.200000,[H]c1nnc([H])c(N([H])[H])c1-c1c([H])c([H])c([H])c(C([H])([H])N(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])[H])c1[H]
GEN1-ROOT|GPT-1-dc8870|CROSSOVER-8ab121_f93f67|CROSSOVER-3794e5_a29a1e|CROSSOVER-bdedb6_9534ae|CROSSOVER-cfcf17_a71501|CROSSOVER-de1319_72c177,-8.300000,0.619874,2.139121,-8.300000,[H]c1nc(-c2c([H])c(N(C([H])([H])[H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c([H])c2Br)c([H])c([H])c1F
GEN1-ROOT|GPT-1-dc8870|CROSSOVER-8ab121_f93f67|CROSSOVER-3794e5_f9c159,-8.000000,0.592734,2.087647,-8.000000,[H]c1c([H])c(C(=O)C([H])([H])C(=O)C([H])([H])C([H])([H])[H])c([H])c(C([H])([H])N([H])C2([H])C([H])([H])C2([H])[H])c1[H]
GEN1-ROOT|GPT-1-e887e7|CROSSOVER-703997_4382be,-8.400000,0.801292,3.285489,-8.400000,[H]c1nc(-c2oc([H])c([H])c2[H])oc1C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])(c2c([H])c([H])nn2[H])C1([H])[H]
GEN1-ROOT|GPT-1-e887e7|CROSSOVER-703997_4382be|CROSSOVER-c1e60f_ec3388,-6.000000,0.601678,3.461528,-6.000000,[H]c1nn([H])c([C@]2([H])N([H])C([H])([H])C([H])([H])C2([H])[H])c1[H]
GEN1-ROOT|GPT-1-f46f0b|CROSSOVER-8b9ffe_6da3ab,-8.600000,0.850842,2.648094,-8.600000,[H]c1c([H])c(F)c(OC([H])([H])C2([H])Oc3c([H])c([H])c([H])c([H])c3C2([H])[H])c(Br)c1[H]
GEN1-ROOT|GPT-1-f46f0b|CROSSOVER-8b9ffe_6da3ab|CROSSOVER-d2207d_ac8d3a,-6.900000,0.693971,2.511578,-6.900000,[H]c1nnc([H])c(N([H])[H])c1C(=O)N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
GEN1-ROOT|GPT-1-f5a2ff|CROSSOVER-1171af_68afe9,-4.900000,0.621317,2.747637,-4.900000,[H]OC(=O)C([H])(SC([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H])C([H])([H])[H]
GEN1-ROOT|GPT-1-fe178f|CROSSOVER-1c8940_ec3388,-6.000000,0.601678,3.461528,-6.000000,[H]c1nn([H])c([C@@]2([H])N([H])C([H])([H])C([H])([H])C2([H])[H])c1[H]
GEN11-ROOT|GPT-11-0ed460|CROSSOVER-0e7d28_50197c,-7.400000,0.862614,2.148187,-7.400000,[H]c1nc(C([H])([H])Oc2c([H])c([H])c([H])c(C([H])([H])C([H])([H])N([H])[H])c2[H])c([H])s1
GEN2-ROOT|GPT-2-01aaae|CROSSOVER-529ad9_fdea31,-6.700000,0.711888,3.682970,-6.700000,[H]N(C([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H])C1([H])C([H])([H])C([H])([H])C([H])(SC([H])([H])C([H])([H])[H])C1([H])[H]
GEN2-ROOT|GPT-2-036a4f|CROSSOVER-dd25b8_9f801f,-8.200000,0.813629,2.163438,-8.200000,[H]C(=O)c1c([H])c([H])c(N(C([H])([H])[H])C([H])([H])C(=O)N2c3c([H])c([H])c([H])c([H])c3C([H])([H])C2([H])[H])c([H])c1[H]
GEN2-ROOT|GPT-2-036a4f|CROSSOVER-dd25b8_9f801f|CROSSOVER-fddcb7_3e0e6a,-9.500000,0.395570,2.852184,-9.500000,[H]c1c([H])c([H])c2c(c1[H])N(C(=O)C([H])([H])N(c1c([H])c([H])c(C([H])N3N=C(C(=O)N([H])C([H])([H])c4c([H])c([H])c([H])c([H])c4N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C([H])([H])C([H])([H])C3=O)c([H])c1[H])C([H])([H])[H])C([H])([H])C2([H])[H]
GEN2-ROOT|GPT-2-036a4f|CROSSOVER-dd25b8_9f801f|CROSSOVER-fddcb7_597b07,-6.800000,0.565666,1.595586,-6.800000,[H]C(=O)c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H]
GEN2-ROOT|GPT-2-036a4f|CROSSOVER-dd25b8_9f801f|CROSSOVER-fddcb7_92828c,-6.100000,0.623043,1.838353,-6.100000,[H]C(=O)c1c([H])c([H])c(N([H])C([H])([H])[H])c([H])c1[H]
GEN2-ROOT|GPT-2-14337b|CROSSOVER-b0d750_8ea9be,-7.900000,0.733178,2.114559,-7.900000,[H]C([H])=C([H])c1c(C([H])([H])Oc2c([H])c([H])c(Br)c([H])c2[H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H]
GEN2-ROOT|GPT-2-14337b|CROSSOVER-b0d750_8ea9be|CROSSOVER-145497_59be65,-6.400000,0.687352,4.348235,-6.400000,[H]C1=C(C([H])([H])N([H])C([H])([H])C([H])([H])[H])N=NC(=O)C1([H])C#N
GEN2-ROOT|GPT-2-14337b|CROSSOVER-b0d750_8ea9be|CROSSOVER-145497_cb0d7c,-9.300000,0.552562,2.697001,-9.300000,[H]C([H])=C([H])c1c(C([H])([H])OC([H])([H])n2nc(-c3c([H])c([H])c([H])c([H])c3[H])c(C([H])([H])C([H])([H])C([H])([H])N([H])[H])c2[H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H]
GEN2-ROOT|GPT-2-14337b|CROSSOVER-b0d750_8ea9be|CROSSOVER-145497_cb0d7c|CROSSOVER-4b0a1c_6da3ab,-10.400000,0.277447,3.242451,-10.400000,[H]c1c([H])c([H])c(-c2nn(C([H])([H])OC([H])([H])c3c([H])c([H])c([H])c(C([H])([H])C([H])([H])[H])c3OC([H])([H])C3([H])Oc4c([H])c([H])c([H])c([H])c4C3([H])[H])c([H])c2C([H])([H])C([H])([H])C([H])([H])N([H])[H])c([H])c1[H]
GEN2-ROOT|GPT-2-14337b|CROSSOVER-b0d750_8ea9be|CROSSOVER-145497_cb0d7c|CROSSOVER-4b0a1c_6da3ab|CROSSOVER-874e2f_78a7b9,-8.400000,0.829125,2.370015,-8.400000,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c(OC([H])([H])C2([H])Oc3c([H])c([H])c([H])c([H])c3C2([H])[H])c1[H]
GEN2-ROOT|GPT-2-14337b|CROSSOVER-b0d750_8ea9be|CROSSOVER-145497_cb0d7c|CROSSOVER-4b0a1c_6da3ab|CROSSOVER-874e2f_842728|CROSSOVER-556f9b_73aa74,-6.400000,0.694925,1.648670,-6.400000,[H]c1c([H])c(F)c([H])c(C([H])([H])C([H])([H])N([H])C([H])([H])[H])c1[H]
GEN2-ROOT|GPT-2-14337b|CROSSOVER-b0d750_8ea9be|CROSSOVER-145497_cb0d7c|CROSSOVER-4b0a1c_9534ae,-9.400000,0.284853,2.612050,-9.400000,[H]c1c([H])c([H])c(-c2nn(C([H])([H])OC([H])([H])c3c([H])c(C([H])([H])C([H])([H])[H])c([H])c([H])c3N(C([H])([H])[H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c2C([H])([H])C([H])([H])C([H])([H])N([H])[H])c([H])c1[H]
GEN2-ROOT|GPT-2-14337b|CROSSOVER-b0d750_8ea9be|CROSSOVER-145497_fad45e,-7.400000,0.891394,2.916988,-7.400000,[H]OC([H])([H])c1c([H])c(-c2c([H])c([H])c(C([H])([H])N([H])C([H])([H])[H])c(C([H])=C([H])[H])c2[H])nn1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
GEN2-ROOT|GPT-2-19445a|CROSSOVER-194014_36d77e,-7.900000,0.624147,3.099412,-7.900000,[H]N=c1nc(O[H])c(N([H])[H])c([H])n1C(=O)c1c([H])nc([H])c([H])c1[H]
GEN2-ROOT|GPT-2-19445a|CROSSOVER-194014_376604,-7.700000,0.833316,4.067820,-7.700000,[H]c1nn(N(C([H])([H])[H])C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C2([H])[H])c([H])c1S(=O)(=O)C([H])(F)F
GEN2-ROOT|GPT-2-19445a|CROSSOVER-194014_376604|CROSSOVER-b0f072_4496ba,-6.900000,0.455233,1.902059,-6.900000,[H]Oc1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1N([H])[H]
GEN2-ROOT|GPT-2-1c0d97|CROSSOVER-93baf6_eddc57,-5.500000,0.589739,2.074904,-5.500000,[H]C([H])([H])OC([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C(=O)C([H])([H])C1([H])[H]
GEN2-ROOT|GPT-2-27f7a6|CROSSOVER-e7798d_088a65,-7.700000,0.612024,2.595276,-7.700000,[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])(N([H])S(=O)(=O)c1c([H])c([H])c([H])c([H])c1F)C([H])([H])[H]
GEN2-ROOT|GPT-2-2eaf57|CROSSOVER-674405_999f6b,-6.100000,0.754725,4.078397,-6.100000,[H]C1=C(N([H])C([H])([H])C([H])([H])C([H])([H])[H])C(=C([H])C([H])(Cl)C([H])([H])[H])SC1=O
GEN2-ROOT|GPT-2-405985|CROSSOVER-980f39_c62055,-7.200000,0.381664,3.571219,-7.200000,[H]C(=C(C#N)C(=O)OC([H])(C#N)C([H])([H])[H])C1([H])C([H])([H])C1([H])[H]
GEN2-ROOT|GPT-2-5815a4|CROSSOVER-fd889c_528d84,-8.300000,0.641812,4.521273,-8.300000,[H]C([H])=C([H])C([H])(C([H])([H])[H])C([H])([H])C1([H]):C(Cl):C([H]):C([H])(c2c([H])c([H])c([H])c([H])c2[H]):C([H]):C:1OC([H])(C#N)C([H])([H])[H]
GEN2-ROOT|GPT-2-5815a4|CROSSOVER-fd889c_528d84|CROSSOVER-c21a01_0502b9,-8.400000,0.641812,4.521273,-8.400000,[H]C([H])=C([H])C([H])(C([H])([H])[H])C([H])([H])C1([H])C(Cl)=C([H])C([H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])=C1OC([H])(C#N)C([H])([H])[H]
GEN2-ROOT|GPT-2-596fb9|CROSSOVER-f1f839_8e9fa8,-9.400000,0.354252,2.692418,-9.400000,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C(=O)N(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])N([H])[H]
GEN2-ROOT|GPT-2-596fb9|CROSSOVER-f1f839_8e9fa8|CROSSOVER-77ae33_3e0e6a|CROSSOVER-4e8fcc_19efc1,-8.200000,0.788548,1.917719,-8.200000,[H]c1c([H])c(C([H])([H])N(c2c([H])c([H])c(OC([H])([H])C([H])([H])[H])c([H])c2[H])C([H])([H])[H])c(F)c([H])c1Br
GEN2-ROOT|GPT-2-596fb9|CROSSOVER-f1f839_8e9fa8|CROSSOVER-77ae33_3e0e6a|CROSSOVER-4e8fcc_36c40e,-6.900000,0.734893,1.593975,-6.900000,[H]c1c([H])c(OC([H])([H])C([H])([H])[H])c([H])c(C([H])([H])C([H])([H])N([H])[H])c1[H]
GEN2-ROOT|GPT-2-596fb9|CROSSOVER-f1f839_8e9fa8|CROSSOVER-77ae33_3e0e6a|CROSSOVER-4e8fcc_97d34d,-8.200000,0.784051,1.513564,-8.200000,[H]c1c([H])c([H])c(Oc2c([H])c([H])c(Br)c([H])c2F)c([H])c1[H]
GEN2-ROOT|GPT-2-596fb9|CROSSOVER-f1f839_8e9fa8|CROSSOVER-77ae33_512192,-7.600000,0.774697,3.755735,-7.600000,[H]N([H])C1(C([H])([H])C([H])([H])[H])C([H])([H])N(C2([H])C([H])([H])C([H])([H])C([H])(C([H])([H])C([H])([H])[H])C2([H])[H])C([H])([H])C1([H])[H]
GEN2-ROOT|GPT-2-596fb9|CROSSOVER-f1f839_ff5151,-7.200000,0.448063,4.418857,-7.200000,[H]N=c1nc(O[H])c(N([H])[H])c([H])n1C(=O)[C@@]1([H])N([H])C([H])([H])OC1([H])[H]
GEN2-ROOT|GPT-2-b3870d|CROSSOVER-41c41c_1ce1dc,-6.500000,0.667604,2.186260,-6.500000,[H]Sc1c([H])c(C([H])([H])C([H])([H])[H])c([H])c([H])c1OC([H])([H])[H]
GEN2-ROOT|GPT-2-c27b7e|CROSSOVER-ffd42f_ef89e2,-6.400000,0.710109,2.503293,-6.400000,[H]c1c(Cl)nc(C([H])([H])S(=O)(=O)C([H])([H])[H])c([H])c1C([H])([H])[H]
GEN2-ROOT|GPT-2-c96404|CROSSOVER-b3cf5b_8e3319,-9.700000,0.779448,2.568783,-9.700000,[H]c1c(C(=O)C([H])([H])[H])nc2c(c1[H])C([H])([H])C([H])([H])N(N1C([H])([H])C([H])([H])N(C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C1([H])[H])C([H])([H])C2([H])[H]
GEN2-ROOT|GPT-2-d83750|CROSSOVER-573c03_f00407,-6.000000,0.539544,4.086365,-6.000000,[H]c1nsnc1C([H])(N([H])N([H])[H])C1([H])C([H])([H])C([H])([H])C1([H])[H]
GEN2-ROOT|GPT-2-e854b3|CROSSOVER-0dd4dc_d194c9,-7.100000,0.899679,2.425347,-7.100000,[H]OC([H])([H])c1c([H])c(-c2c([H])c([H])c(C([H])([H])N([H])C([H])([H])[H])c([H])c2[H])nn1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
GEN2-ROOT|GPT-2-eb08aa|CROSSOVER-a484ec_1e2849,-6.600000,0.655692,1.488075,-6.600000,[H]c1c([H])c(C([H])([H])C([H])([H])[H])c([H])c([H])c1N([H])C([H])([H])[H]
GEN2-ROOT|GPT-2-eb08aa|CROSSOVER-a484ec_1e2849|CROSSOVER-92828c_464899,-6.400000,0.679765,1.715096,-6.400000,[H]c1c([H])c(C([H])([H])C([H])([H])N([H])[H])c([H])c([H])c1N([H])C([H])([H])[H]
GEN2-ROOT|GPT-2-eb08aa|CROSSOVER-a484ec_1e2849|CROSSOVER-92828c_b0fde9,-6.900000,0.687656,1.842659,-6.900000,[H]c1c([H])c(C([H])([H])C([H])([H])[H])c([H])c(F)c1N([H])C([H])([H])[H]
GEN2-ROOT|GPT-2-eb08aa|CROSSOVER-a484ec_1e2849|CROSSOVER-92828c_c48f84|CROSSOVER-62057c_88cf1b,-7.600000,0.745367,1.528655,-7.600000,[H]c1c([H])c(C([H])([H])C([H])([H])[H])c([H])c([H])c1C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H]
GEN2-ROOT|GPT-2-eb08aa|CROSSOVER-a484ec_1e2849|CROSSOVER-92828c_c48f84|CROSSOVER-62057c_f9c159,-7.000000,0.783166,2.044599,-7.000000,[H]c1c([H])c(Br)c(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c(C([H])([H])C([H])([H])[H])c1[H]
GEN2-ROOT|GPT-2-eb08aa|CROSSOVER-a484ec_1e2849|CROSSOVER-92828c_f9c159,-8.000000,0.837253,1.966579,-8.000000,[H]c1c([H])c(C([H])([H])C([H])([H])[H])c(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1N([H])C([H])([H])[H]
GEN2-ROOT|GPT-2-eb08aa|CROSSOVER-a484ec_1e2849|CROSSOVER-92828c_f9c159|CROSSOVER-60d20c_3c741e,-7.500000,0.690050,1.583977,-7.500000,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c1[H]
GEN2-ROOT|GPT-2-eb08aa|CROSSOVER-a484ec_1e2849|CROSSOVER-92828c_f9c159|CROSSOVER-60d20c_fa10cc,-8.000000,0.460827,3.021910,-8.000000,[H]C([H])=C([H])c1c([H])c([H])c([H])c(OC([H])(c2c([H])c([H])c([H])c(-c3nc([H])c(F)c([H])c3[H])c2N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])[H])c1[H]
GEN2-ROOT|GPT-2-ee634a|CROSSOVER-9c3fc8_376604,-7.200000,0.687077,3.734368,-7.200000,[H]C1=C(C([H])([H])N([H])C2([H])C([H])([H])N(C([H])[H])C([H])([H])C2([H])C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H]
GEN2-ROOT|GPT-2-fb83ab|CROSSOVER-bc87fc_d53d84,-6.900000,0.197500,4.135356,-6.900000,[H]OC(C([H])=C([H])[H])(C([H])([H])[H])C([H])(C(=O)N([H])N([H])[H])N([H])C([H])([H])c1c([H])c([H])n([H])c1[H]
GEN2-ROOT|GPT-2-fb83ab|CROSSOVER-bc87fc_f00407,-7.100000,0.432518,2.812547,-7.100000,[H]c1nc(C([H])([H])N(C([H])([H])C([H])([H])C([H])([H])[H])C([H])(C(=O)N([H])N([H])[H])C([H])([H])[H])c([H])c([H])c1[H]
GEN3-ROOT|GPT-3-0256ec|CROSSOVER-336643_8dbee2,-8.000000,0.571123,2.680764,-8.000000,[H]c1c([H])c(C([H])(N([H])N([H])[H])C2([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1F
GEN3-ROOT|GPT-3-0256ec|CROSSOVER-336643_8dbee2|CROSSOVER-eb9848_3003c5,-6.600000,0.656765,1.461431,-6.600000,[H]c1c([H])c(C([H])([H])C([H])([H])N([H])[H])c([H])c([H])c1F
GEN3-ROOT|GPT-3-0256ec|CROSSOVER-336643_8dbee2|CROSSOVER-eb9848_3003c5|CROSSOVER-a9e36b_6a2f00,-9.700000,0.798970,2.242985,-9.700000,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)C2=NN(C([H])([H])c3c([H])c([H])c(F)c([H])c3[H])C(=O)C([H])([H])C2([H])[H])c(OC([H])([H])C([H])([H])[H])c1[H]
GEN3-ROOT|GPT-3-0256ec|CROSSOVER-336643_c0693b,-7.100000,0.687950,3.014653,-7.100000,[H]c1c([H])c(F)c([H])c(C([H])([H])O[C@@]([H])(C([H])([H])[H])[C@]2([H])OC2([H])[H])c1[H]
GEN3-ROOT|GPT-3-0256ec|CROSSOVER-336643_e0dff5,-7.200000,0.666234,3.501750,-7.200000,[H]N(C1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C1([H])[H])C1([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H]
GEN3-ROOT|GPT-3-3948d7|CROSSOVER-e921ad_a29a1e,-9.500000,0.307348,2.470522,-9.500000,[H]SC(=Nc1c([H])c(Cl)c([H])c([H])c1OC([H])([H])[H])N1C([H])([H])C([H])([H])N(C([H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C1([H])[H]
GEN3-ROOT|GPT-3-3948d7|CROSSOVER-e921ad_a29a1e|CROSSOVER-fde5b3_6f5d92,-7.300000,0.222270,3.491308,-7.300000,[H]SC(=Nc1c([H])c([H])c([H])c([H])c1OC([H])(C([H])([H])[H])C1([H])OC1([H])[H])N1C([H])([H])C([H])([H])N(C([H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C1([H])[H]
GEN3-ROOT|GPT-3-3948d7|CROSSOVER-e921ad_a29a1e|CROSSOVER-fde5b3_9ea965,-8.000000,0.152590,3.129871,-8.000000,[H]SC(=Nc1c([H])c(Cl)c([H])c([H])c1OC([H])([H])[H])N1C([H])([H])C([H])([H])N(C([H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c(N([H])N([H])[H])c2[H])C([H])([H])C1([H])[H]
GEN3-ROOT|GPT-3-3a0d76|CROSSOVER-714a65_23e8c1,-9.000000,0.721717,2.671960,-9.000000,[H]c1c([H])c(C([H])([H])N([H])C([H])(C([H])([H])[H])C2([H])C([H])([H])C2([H])[H])c(Oc2c([H])c([H])c(Br)c([H])c2F)c([H])c1F
GEN3-ROOT|GPT-3-3a0d76|CROSSOVER-714a65_23e8c1|CROSSOVER-97d34d_51eed7,-7.400000,0.863626,2.782308,-7.400000,[H]c1c(F)c([H])c(Cl)c(C([H])([H])N([H])C([H])(C([H])([H])[H])C2([H])C([H])([H])C2([H])[H])c1Cl
GEN3-ROOT|GPT-3-3a0d76|CROSSOVER-714a65_23e8c1|CROSSOVER-97d34d_51eed7|CROSSOVER-6c6732_115ac3,-9.100000,0.394818,2.208204,-9.100000,[H]c1nc(Oc2c([H])c([H])c([H])c([H])c2[H])c(C(=O)Oc2c([H])c([H])c(C(=O)C([H])([H])N([H])[H])c(Cl)c2[H])c([H])c1[H]
GEN3-ROOT|GPT-3-3a0d76|CROSSOVER-714a65_23e8c1|CROSSOVER-97d34d_51eed7|CROSSOVER-6c6732_59f935,-7.500000,0.774894,2.218927,-7.500000,[H]c1c([H])c(C([H])([H])N([H])C([H])(C([H])([H])[H])C2([H])C([H])([H])C2([H])[H])c([H])c([H])c1F
GEN3-ROOT|GPT-3-3a0d76|CROSSOVER-714a65_23e8c1|CROSSOVER-97d34d_51eed7|CROSSOVER-6c6732_5a1444|CROSSOVER-7b2530_29463e,-8.300000,0.864095,2.658341,-8.300000,[H]c1nnc([H])c(N([H])[H])c1-c1c(Cl)c([H])c([H])c([H])c1C(=O)C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
