smiles,total,qed,sa,docking_score,history_data
[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c(C([H])([H])OC(=O)c3c([H])c([H])c([H])c(F)c3N([H])[H])c(F)c2[H])c([H])c1[H],-11.000000,0.512938,1.975741,-11.000000,ROOT-0|CROSSOVER-7c103a_412d72|CROSSOVER-a29a1e_6c6732|CROSSOVER-1a319f_8ad45b
[H]c1c([H])c([H])c(N([H])C([H])([H])c2c([H])c([H])c([H])c(Cl)c2[H])c([H])c1[H],-8.400000,0.821057,1.366600,-8.400000,ROOT-0|CROSSOVER-7c103a_412d72|CROSSOVER-a29a1e_6c6732|CROSSOVER-1a319f_de1319
[H]C#CC(N([H])C([H])([H])C(=O)C([H])([H])c1c([H])c([H])c(C([H])([H])c2c([H])c([H])c([H])c(F)c2[H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H],-10.200000,0.789920,2.422743,-10.200000,ROOT-0|CROSSOVER-7c103a_9c9230
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])N([H])[H])c([H])c1[H],-6.400000,0.624507,1.292277,-6.400000,ROOT-18|CROSSOVER-72f071_3c741e
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])N([H])[H])c(Oc2c([H])c([H])c(Br)c([H])c2F)c1[H],-8.300000,0.929860,1.894632,-8.300000,ROOT-18|CROSSOVER-72f071_3c741e|CROSSOVER-2f8bd1_97d34d
[H]c1c([H])c(C([H])([H])C([H])([H])N([H])[H])c([H])c([H])c1C([H])([H])N1C([H])([H])C([H])([H])C2(C1([H])[H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H],-7.100000,0.914461,2.739521,-7.100000,ROOT-18|CROSSOVER-72f071_cefb6a_CROSSOVER-72f071_f9c159|CROSSOVER-819f3a_8dc9f8
[H]c1nnc([H])c(N([H])[H])c1-c1c([H])c(C([H])([H])C([H])(F)F)c([H])c([H])c1F,-9.000000,0.914443,2.825084,-9.000000,ROOT-18|CROSSOVER-72f071_cefb6a_CROSSOVER-72f071_f9c159|CROSSOVER-819f3a_8dc9f8|CROSSOVER-59f935_73aa74|CROSSOVER-209483_7b2530
[H]c1nnc([H])c(N([H])[H])c1-c1c([H])c(C([H])([H])N([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c([H])c1F,-9.200000,0.759765,2.311924,-9.200000,ROOT-18|CROSSOVER-72f071_cefb6a_CROSSOVER-72f071_f9c159|CROSSOVER-819f3a_8dc9f8|CROSSOVER-59f935_73aa74|CROSSOVER-209483_7b2530|CROSSOVER-09c7af_6fa32e
[H]c1nc(N([H])C([H])(c2c([H])c([H])c([H])c(Cl)c2[H])C([H])([H])[H])c([H])nc1Br,-8.500000,0.928255,2.725654,-8.500000,ROOT-40|CROSSOVER-4496ba_495ef0|CROSSOVER-0502b9_b6e0ec|CROSSOVER-5a0ac7_1a319f
[H]c1nc(N([H])C([H])(c2c([H])c([H])c([H])c([H])c2F)C([H])([H])[H])c([H])nc1Br,-8.400000,0.940891,2.754480,-8.400000,ROOT-40|CROSSOVER-4496ba_495ef0|CROSSOVER-0502b9_b6e0ec|CROSSOVER-5a0ac7_1a319f|CROSSOVER-00f7ca_73aa74
[H]c1nc(N([H])C([H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])[H])c([H])nc1Br,-8.000000,0.934455,2.583238,-8.000000,ROOT-40|CROSSOVER-4496ba_495ef0|CROSSOVER-0502b9_b6e0ec|CROSSOVER-5a0ac7_1a319f|CROSSOVER-00f7ca_73aa74|CROSSOVER-2ace99_c40e47
[H]c1nnc([H])c(N([H])[H])c1-c1c([H])c([H])c([H])c(C([H])(N(C([H])([H])[H])C([H])([H])[H])C([H])([H])F)c1[H],-8.900000,0.916088,3.288863,-8.900000,ROOT-40|CROSSOVER-4496ba_495ef0|CROSSOVER-0502b9_b6e0ec|CROSSOVER-5a0ac7_1a319f|CROSSOVER-00f7ca_73aa74|CROSSOVER-2ace99_c40e47|CROSSOVER-f4ca5b_060bef
[H]c1nc(N([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2F)c([H])nc1Br,-7.900000,0.940007,2.194935,-7.900000,ROOT-40|CROSSOVER-4496ba_495ef0|CROSSOVER-0502b9_b6e0ec|CROSSOVER-5a0ac7_1a319f|CROSSOVER-00f7ca_73aa74|CROSSOVER-2ace99_c6a8dc
[H]c1nc(N([H])C(=O)c2c([H])c([H])c([H])c(Cl)c2[H])c([H])nc1Br,-7.500000,0.926563,2.059494,-7.500000,ROOT-40|CROSSOVER-4496ba_495ef0|CROSSOVER-0502b9_b6e0ec|CROSSOVER-5a0ac7_1a319f|CROSSOVER-00f7ca_b03f61
[H]c1nc(-c2c([H])c([H])c(Cl)c(C([H])([H])C([H])([H])N([H])[H])c2[H])c([H])c([H])c1F,-8.700000,0.909460,2.084178,-8.700000,ROOT-85|CROSSOVER-dde284_54ff9e
[H]c1nc(-c2c([H])c([H])c([H])c(C([H])([H])C([H])(F)F)c2[H])c([H])c([H])c1F,-9.200000,0.792800,2.145615,-9.200000,ROOT-85|CROSSOVER-dde284_e01395|CROSSOVER-4b9d30_3794e5
[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c(C([H])([H])C([H])(F)F)c([H])c2[H])c([H])c1[H],-8.500000,0.891913,1.632846,-8.500000,ROOT-85|CROSSOVER-dde284_e01395|CROSSOVER-4b9d30_3794e5|CROSSOVER-31be44_cfbcbd
[H]c1nc(-c2c([H])c([H])c([H])c(C([H])([H])N([H])C3([H])C([H])([H])C3([H])[H])c2[H])c([H])c([H])c1F,-9.000000,0.890538,1.916725,-9.000000,ROOT-85|CROSSOVER-dde284_e01395|CROSSOVER-4b9d30_f22f6c
[H]c1nc(-c2c([H])c([H])c(F)c(C(=O)N([H])C3([H])C([H])([H])C3([H])[H])c2[H])c([H])c([H])c1F,-9.700000,0.934662,1.988806,-9.700000,ROOT-85|CROSSOVER-dde284_e01395|CROSSOVER-4b9d30_f22f6c|CROSSOVER-09669a_73aa74
[H]c1nc(-c2c([H])c([H])c([H])c(C([H])(N(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])c2[H])c([H])c([H])c1F,-9.100000,0.821002,2.504443,-9.100000,ROOT-85|CROSSOVER-dde284_fddcb7|CROSSOVER-3003c5_699336
NNc1cccc(-c2ccccc2)c1,-8.900000,0.555885,1.521851,-8.900000,ROOT-87
[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c(N([H])N([H])[H])c2[H])c([H])c1[H],-8.900000,0.555885,1.521851,-8.900000,ROOT-87|CROSSOVER-a71501_d0a2d9_CROSSOVER-a71501_1d93cc_CROSSOVER-c0693b_a71501
[H]c1nnc([H])c(N([H])[H])c1-c1c([H])c([H])c([H])c(C([H])(C([H])F)N(C([H])([H])[H])C([H])([H])[H])c1[H],-8.900000,0.916088,3.288863,-8.900000,ROOT-87|CROSSOVER-a71501_d0a2d9_CROSSOVER-a71501_1d93cc_CROSSOVER-c0693b_a71501|CROSSOVER-9860b4_b5d838|CROSSOVER-d7b1a6_5a1444
[H]c1c([H])c([H])c(C([H])([H])N([H])[H])c([H])c1[H],-5.600000,0.571943,1.223427,-5.600000,ROOT-87|CROSSOVER-a71501_d0a2d9_CROSSOVER-a71501_1d93cc_CROSSOVER-c0693b_a71501|CROSSOVER-9860b4_b5d838|CROSSOVER-d7b1a6_f6b156
[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)C2=NN(C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])C(=O)C([H])([H])C2([H])[H])c([H])c1[H],-10.000000,0.919441,2.007862,-10.000000,ROOT-87|CROSSOVER-a71501_d0a2d9_CROSSOVER-a71501_1d93cc_CROSSOVER-c0693b_a71501|CROSSOVER-9860b4_b5d838|CROSSOVER-d7b1a6_f6b156|CROSSOVER-6aacaa_e47d2d
